,Missed Client Rules
0,"((AF <= 0.000) U[0,0] (y >= 0.000))"
1,"((AF >= 0.000) U[0,0] (Pulse <= 0.000))"
2,"((AF >= 0.000) U[0,0] (n_evts >= 0.000))"
3,"((AF >= 0.000) U[0,0] (s24_hr <= 0.000))"
4,"((ALBUMIN >= 0.000) U[0,0] (hr >= 0.000))"
5,"((ALBUMIN >= 0.000) U[0,0] (y = 0.000))"
6,"((ALKALINE_PHOSPHATASE > 0.000) U[0,0] (y = 0.000))"
7,"((ALKALINE_PHOSPHATASE >= 0.000) U[0,0] (y = 0.000))"
8,"((AST_GOT > 0.000) U[0,0] (y = 0.000))"
9,"((BLOOD_UREA_NITROGEN <= 0.000) U[0,0] (PARTIAL_THROMBOPLASTIN_TIME >= 0.000))"
10,"((BLOOD_UREA_NITROGEN <= 0.000) U[0,0] (death >= 0.000))"
11,"((BLOOD_UREA_NITROGEN <= 0.000) U[0,0] (n_evts >= 0.000))"
12,"((BLOOD_UREA_NITROGEN >= 0.000) U[0,0] (MET >= 0.000))"
13,"((BLOOD_UREA_NITROGEN >= 0.000) U[0,0] (direct >= 0.000))"
14,"((BLOOD_UREA_NITROGEN >= 0.000) U[0,0] (s8_hr <= 0.000))"
15,"((CALCIUM <= 0.000) U[0,0] (WHITE_BLOOD_CELL_COUNT <= 0.000))"
16,"((CALCIUM <= 0.000) U[0,0] (s2_hr <= 0.000))"
17,"((CALCIUM >= 0.000) U[0,0] (MET >= 0.000))"
18,"((CALCIUM >= 0.000) U[0,0] (n_edrk <= 0.000))"
19,"((CALCIUM >= 0.000) U[0,0] (y >= 0.000))"
20,"((CHLORIDE < 0.000) U[0,0] (y = 0.000))"
21,"((CHLORIDE <= 0.000) U[0,0] (HEMOGLOBIN >= 0.000))"
22,"((CHLORIDE <= 0.000) U[0,0] (n_evts >= 0.000))"
23,"((CHLORIDE >= 0.000) U[0,0] (n_edrk <= 0.000))"
24,"((CHLORIDE >= 0.000) U[0,0] (n_evts >= 0.000))"
25,"((CO2 <= 0.000) U[0,0] (PROTIME_INR <= 0.000))"
26,"((CO2 <= 0.000) U[0,0] (n_evts >= 0.000))"
27,"((CO2 >= 0.000) U[0,0] (y = 0.000))"
28,"((CREATININE <= 0.000) U[0,0] (ICU_Pt_Days >= 0.000))"
29,"((CREATININE >= 0.000) U[0,0] (LOS >= 0.000))"
30,"((CREATININE >= 0.000) U[0,0] (MET >= 0.000))"
31,"((CREATININE >= 0.000) U[0,0] (PARTIAL_THROMBOPLASTIN_TIME >= 0.000))"
32,"((CREATININE >= 0.000) U[0,0] (PROTIME_INR <= 0.000))"
33,"((CREATININE >= 0.000) U[0,0] (death <= 0.000))"
34,"((GLUCOSE >= 0.000) U[0,0] (PROTIME_INR >= 0.000))"
35,"((Glasgow_Coma_Scale_Total <= 0.000) U[0,0] (MET <= 0.000))"
36,"((Glasgow_Coma_Scale_Total <= 0.000) U[0,0] (MET >= 0.000))"
37,"((Glasgow_Coma_Scale_Total <= 0.000) U[0,0] (n_evts >= 0.000))"
38,"((Glasgow_Coma_Scale_Total <= 0.000) U[0,0] (s24_hr <= 0.000))"
39,"((Glasgow_Coma_Scale_Total >= 0.000) U[0,0] (hr >= 0.000))"
40,"((Glasgow_Coma_Scale_Total >= 0.000) U[0,0] (s8_hr <= 0.000))"
41,"((HEMOGLOBIN >= 0.000) U[0,0] (ICU_Pt_Days >= 0.000))"
42,"((HEMOGLOBIN >= 0.000) U[0,0] (LACTIC_ACID >= 0.000))"
43,"((HEMOGLOBIN >= 0.000) U[0,0] (MET >= 0.000))"
44,"((HEMOGLOBIN >= 0.000) U[0,0] (tte <= 0.000))"
45,"((HEMOGLOBIN >= 0.000) U[0,0] (y >= 0.000))"
46,"((ICU_Pt_Days <= 0.000) U[0,0] (y >= 0.000))"
47,"((ICU_Pt_Days >= 0.000) U[0,0] (PLATELET_COUNT <= 0.000))"
48,"((ICU_Pt_Days >= 0.000) U[0,0] (Pulse >= 0.000))"
49,"((ICU_Pt_Days >= 0.000) U[0,0] (SODIUM >= 0.000))"
50,"((ICU_Pt_Days >= 0.000) U[0,0] (SpO2 >= 0.000))"
51,"((ICU_Pt_Days >= 0.000) U[0,0] (WHITE_BLOOD_CELL_COUNT >= 0.000))"
52,"((ICU_Pt_Days >= 0.000) U[0,0] (n_edrk <= 0.000))"
53,"((ICU_Pt_Days >= 0.000) U[0,0] (n_edrk >= 0.000))"
54,"((ICU_Pt_Days >= 0.000) U[0,0] (s8_hr >= 0.000))"
55,"((LACTIC_ACID > 0.000) U[0,0] (y = 0.000))"
56,"((LACTIC_ACID >= 0.000) U[0,0] (O2_Flow >= 0.000))"
57,"((LOS >= 0.000) U[0,0] (WHITE_BLOOD_CELL_COUNT <= 0.000))"
58,"((LOS >= 0.000) U[0,0] (n_evts >= 0.000))"
59,"((LOS >= 0.000) U[0,0] (y >= 0.000))"
60,"((MET <= 0.000) U[0,0] (Mort >= 0.000))"
61,"((MET <= 0.000) U[0,0] (y >= 0.000))"
62,"((MET >= 0.000) U[0,0] (Mort <= 0.000))"
63,"((MET >= 0.000) U[0,0] (PARTIAL_THROMBOPLASTIN_TIME >= 0.000))"
64,"((MET >= 0.000) U[0,0] (Temp <= 0.000))"
65,"((MET >= 0.000) U[0,0] (n_edrk >= 0.000))"
66,"((MET >= 0.000) U[0,0] (s24_edrk >= 0.000))"
67,"((MET >= 0.000) U[0,0] (s8_edrk <= 0.000))"
68,"((Mort < 0.000) U[0,0] (y = 0.000))"
69,"((Mort <= 0.000) U[0,0] (WHITE_BLOOD_CELL_COUNT >= 0.000))"
70,"((Mort <= 0.000) U[0,0] (n_evts >= 0.000))"
71,"((Mort <= 0.000) U[0,0] (y >= 0.000))"
72,"((Mort >= 0.000) U[0,0] (PLATELET_COUNT <= 0.000))"
73,"((Mort >= 0.000) U[0,0] (Pulse <= 0.000))"
74,"((Mort >= 0.000) U[0,0] (SBP >= 0.000))"
75,"((Mort >= 0.000) U[0,0] (SODIUM >= 0.000))"
76,"((Mort >= 0.000) U[0,0] (n_edrk <= 0.000))"
77,"((Mort >= 0.000) U[0,0] (s24_edrk >= 0.000))"
78,"((Mort >= 0.000) U[0,0] (tte >= 0.000))"
79,"((O2_Flow <= 0.000) U[0,0] (PLATELET_COUNT >= 0.000))"
80,"((O2_Flow <= 0.000) U[0,0] (tte <= 0.000))"
81,"((O2_Flow > 0.000) U[0,0] (y = 0.000))"
82,"((OXYGEN_SATURATION < 0.000) U[0,0] (y = 0.000))"
83,"((PARTIAL_THROMBOPLASTIN_TIME <= 0.000) U[0,0] (WHITE_BLOOD_CELL_COUNT <= 0.000))"
84,"((PARTIAL_THROMBOPLASTIN_TIME >= 0.000) U[0,0] (POTASSIUM <= 0.000))"
85,"((PHOSPHORUS <= 0.000) U[0,0] (PROTIME_INR <= 0.000))"
86,"((PHOSPHORUS >= 0.000) U[0,0] (tte <= 0.000))"
87,"((PLATELET_COUNT <= 0.000) U[0,0] (PROTIME_INR <= 0.000))"
88,"((PLATELET_COUNT <= 0.000) U[0,0] (y = 0.000))"
89,"((PLATELET_COUNT >= 0.000) U[0,0] (y >= 0.000))"
90,"((POTASSIUM < 0.000) U[0,0] (y = 0.000))"
91,"((POTASSIUM <= 0.000) U[0,0] (tte <= 0.000))"
92,"((PROTIME_INR <= 0.000) U[0,0] (tte <= 0.000))"
93,"((PROTIME_INR >= 0.000) U[0,0] (SpO2 >= 0.000))"
94,"((PROTIME_INR >= 0.000) U[0,0] (s24_hr >= 0.000))"
95,"((Pulse <= 0.000) U[0,0] (y = 0.000))"
96,"((Pulse <= 0.000) U[0,0] (y >= 0.000))"
97,"((Resp < 0.000) U[0,0] (y = 0.000))"
98,"((Resp <= 0.000) U[0,0] (WHITE_BLOOD_CELL_COUNT <= 0.000))"
99,"((Resp > 0.000) U[0,0] (y = 0.000))"
100,"((Resp >= 0.000) U[0,0] (y >= 0.000))"
101,"((SBP >= 0.000) U[0,0] (y >= 0.000))"
102,"((SODIUM >= 0.000) U[0,0] (tte <= 0.000))"
103,"((Sgy >= 0.000) U[0,0] (y = 0.000))"
104,"((Temp < 0.000) U[0,0] (y = 0.000))"
105,"((Temp > 0.000) U[0,0] (y = 0.000))"
106,"((Temp >= 0.000) U[0,0] (y >= 0.000))"
107,"((af <= 0.000) U[0,0] (Mort >= 0.000))"
108,"((af <= 0.000) U[0,0] (n_evts >= 0.000))"
109,"((af <= 0.000) U[0,0] (y = 0.000))"
110,"((af > 0.000) U[0,0] (y = 0.000))"
111,"((af >= 0.000) U[0,0] (ICU_Pt_Days >= 0.000))"
112,"((af >= 0.000) U[0,0] (PLATELET_COUNT <= 0.000))"
113,"((af >= 0.000) U[0,0] (direct >= 0.000))"
114,"((af >= 0.000) U[0,0] (s2_hr <= 0.000))"
115,"((af >= 0.000) U[0,0] (y >= 0.000))"
116,"((cosen < 0.000) U[0,0] (y = 0.000))"
117,"((cosen <= 0.000) U[0,0] (n_evts >= 0.000))"
118,"((cosen <= 0.000) U[0,0] (tte <= 0.000))"
119,"((cosen >= 0.000) U[0,0] (y >= 0.000))"
120,"((death < 0.000) U[0,0] (y = 0.000))"
121,"((death <= 0.000) U[0,0] (n_edrk <= 0.000))"
122,"((death <= 0.000) U[0,0] (tte <= 0.000))"
123,"((death >= 0.000) U[0,0] (LACTIC_ACID >= 0.000))"
124,"((death >= 0.000) U[0,0] (Mort <= 0.000))"
125,"((death >= 0.000) U[0,0] (PHOSPHORUS <= 0.000))"
126,"((death >= 0.000) U[0,0] (Pulse >= 0.000))"
127,"((death >= 0.000) U[0,0] (SODIUM <= 0.000))"
128,"((death >= 0.000) U[0,0] (Temp <= 0.000))"
129,"((death >= 0.000) U[0,0] (hr >= 0.000))"
130,"((death >= 0.000) U[0,0] (n_edrk <= 0.000))"
131,"((dfa <= 0.000) U[0,0] (Glasgow_Coma_Scale_Total <= 0.000))"
132,"((dfa <= 0.000) U[0,0] (PARTIAL_THROMBOPLASTIN_TIME >= 0.000))"
133,"((dfa <= 0.000) U[0,0] (n_edrk <= 0.000))"
134,"((dfa <= 0.000) U[0,0] (y >= 0.000))"
135,"((dfa >= 0.000) U[0,0] (n_evts >= 0.000))"
136,"((direct <= 0.000) U[0,0] (HEMOGLOBIN >= 0.000))"
137,"((direct <= 0.000) U[0,0] (n_evts >= 0.000))"
138,"((direct <= 0.000) U[0,0] (y >= 0.000))"
139,"((direct >= 0.000) U[0,0] (Glasgow_Coma_Scale_Total <= 0.000))"
140,"((direct >= 0.000) U[0,0] (POTASSIUM >= 0.000))"
141,"((direct >= 0.000) U[0,0] (SBP >= 0.000))"
142,"((direct >= 0.000) U[0,0] (n_edrk >= 0.000))"
143,"((edrk <= 0.000) U[0,0] (PARTIAL_THROMBOPLASTIN_TIME >= 0.000))"
144,"((edrk >= 0.000) U[0,0] (LOS >= 0.000))"
145,"((edrk >= 0.000) U[0,0] (POTASSIUM >= 0.000))"
146,"((edrk >= 0.000) U[0,0] (PROTIME_INR <= 0.000))"
147,"((hr <= 0.000) U[0,0] (Mort >= 0.000))"
148,"((hr <= 0.000) U[0,0] (n_evts >= 0.000))"
149,"((hr <= 0.000) U[0,0] (s2_hr <= 0.000))"
150,"((hr <= 0.000) U[0,0] (y >= 0.000))"
151,"((hr >= 0.000) U[0,0] (Mort >= 0.000))"
152,"((hr >= 0.000) U[0,0] (PLATELET_COUNT <= 0.000))"
153,"((hr >= 0.000) U[0,0] (Resp <= 0.000))"
154,"((hr >= 0.000) U[0,0] (lds <= 0.000))"
155,"((hr >= 0.000) U[0,0] (n_edrk <= 0.000))"
156,"((lds <= 0.000) U[0,0] (Mort >= 0.000))"
157,"((lds <= 0.000) U[0,0] (PROTIME_INR <= 0.000))"
158,"((lds <= 0.000) U[0,0] (Pulse >= 0.000))"
159,"((lds <= 0.000) U[0,0] (n_edrk <= 0.000))"
160,"((lds <= 0.000) U[0,0] (n_evts >= 0.000))"
161,"((lds >= 0.000) U[0,0] (LOS >= 0.000))"
162,"((lds >= 0.000) U[0,0] (PROTIME_INR >= 0.000))"
163,"((lds >= 0.000) U[0,0] (n_evts >= 0.000))"
164,"((n_edrk < 0.000) U[0,0] (y = 0.000))"
165,"((n_edrk <= 0.000) U[0,0] (O2_Flow <= 0.000))"
166,"((n_edrk <= 0.000) U[0,0] (POTASSIUM >= 0.000))"
167,"((n_edrk <= 0.000) U[0,0] (s24_hr <= 0.000))"
168,"((n_edrk <= 0.000) U[0,0] (tte >= 0.000))"
169,"((n_edrk >= 0.000) U[0,0] (tte <= 0.000))"
170,"((n_evts <= 0.000) U[0,0] (O2_Flow >= 0.000))"
171,"((n_evts <= 0.000) U[0,0] (WHITE_BLOOD_CELL_COUNT <= 0.000))"
172,"((n_evts <= 0.000) U[0,0] (WHITE_BLOOD_CELL_COUNT >= 0.000))"
173,"((n_evts >= 0.000) U[0,0] (PARTIAL_THROMBOPLASTIN_TIME <= 0.000))"
174,"((s24_edrk <= 0.000) U[0,0] (y >= 0.000))"
175,"((s24_hr <= 0.000) U[0,0] (tte <= 0.000))"
176,"((s24_hr >= 0.000) U[0,0] (SBP >= 0.000))"
177,"((s24_hr >= 0.000) U[0,0] (tte <= 0.000))"
178,"((s24_hr >= 0.000) U[0,0] (y = 0.000))"
179,"((s24_hr >= 0.000) U[0,0] (y >= 0.000))"
180,"((s2_edrk <= 0.000) U[0,0] (srr >= 0.000))"
181,"((s8_edrk < 0.000) U[0,0] (y = 0.000))"
182,"((s8_edrk >= 0.000) U[0,0] (y >= 0.000))"
183,"((s8_hr <= 0.000) U[0,0] (WHITE_BLOOD_CELL_COUNT >= 0.000))"
184,"((tte < 0.000) U[0,0] (y = 0.000))"
185,"F[0,0](((af <= 0.000 | AF <= 0.000) & cosen >= 0.000))"
186,"F[0,0]((AF <= 0.000 & n_evts >= 0.000))"
187,"F[0,0]((AF <= 0.000 -> Glasgow_Coma_Scale_Total <= 0.000))"
188,"F[0,0]((AF >= 0.000 & direct >= 0.000))"
189,"F[0,0]((AF >= 0.000 -> af >= 0.000))"
190,"F[0,0]((AST_GOT > 0.000 & y = 0.000))"
191,"F[0,0]((AST_GOT >= 0.000 & y = 0.000))"
192,"F[0,0]((BLOOD_UREA_NITROGEN <= 0.000 & CREATININE >= 0.000))"
193,"F[0,0]((BLOOD_UREA_NITROGEN <= 0.000 & tte <= 0.000))"
194,"F[0,0]((BLOOD_UREA_NITROGEN <= 0.000 -> death >= 0.000))"
195,"F[0,0]((BLOOD_UREA_NITROGEN >= 0.000 & Glasgow_Coma_Scale_Total <= 0.000))"
196,"F[0,0]((BLOOD_UREA_NITROGEN >= 0.000 & WHITE_BLOOD_CELL_COUNT <= 0.000))"
197,"F[0,0]((CALCIUM <= 0.000 & CREATININE >= 0.000))"
198,"F[0,0]((CALCIUM <= 0.000 & direct >= 0.000))"
199,"F[0,0]((CALCIUM <= 0.000 & s24_hr <= 0.000))"
200,"F[0,0]((CALCIUM >= 0.000 -> SBP >= 0.000))"
201,"F[0,0]((CALCIUM >= 0.000 -> direct >= 0.000))"
202,"F[0,0]((CO2 < 0.000 & y = 0.000))"
203,"F[0,0]((CO2 < 0.000 -> y = 0.000))"
204,"F[0,0]((CO2 >= 0.000 & ICU_Pt_Days >= 0.000))"
205,"F[0,0]((CO2 >= 0.000 & PLATELET_COUNT >= 0.000))"
206,"F[0,0]((CREATININE >= 0.000 & death >= 0.000))"
207,"F[0,0]((GLUCOSE <= 0.000 & n_edrk <= 0.000))"
208,"F[0,0]((Glasgow_Coma_Scale_Total <= 0.000 & O2_Flow >= 0.000))"
209,"F[0,0]((Glasgow_Coma_Scale_Total <= 0.000 & n_evts >= 0.000))"
210,"F[0,0]((Glasgow_Coma_Scale_Total <= 0.000 & s24_hr >= 0.000))"
211,"F[0,0]((Glasgow_Coma_Scale_Total <= 0.000 | O2_Flow >= 0.000))"
212,"F[0,0]((Glasgow_Coma_Scale_Total > 0.000 -> y = 0.000))"
213,"F[0,0]((Glasgow_Coma_Scale_Total >= 0.000 & LACTIC_ACID >= 0.000))"
214,"F[0,0]((Glasgow_Coma_Scale_Total >= 0.000 -> HEMOGLOBIN <= 0.000))"
215,"F[0,0]((Glasgow_Coma_Scale_Total >= 0.000 -> O2_Flow >= 0.000))"
216,"F[0,0]((HEMOGLOBIN <= 0.000 & O2_Flow <= 0.000))"
217,"F[0,0]((HEMOGLOBIN <= 0.000 & n_evts >= 0.000))"
218,"F[0,0]((HEMOGLOBIN <= 0.000 & s8_hr >= 0.000))"
219,"F[0,0]((HEMOGLOBIN <= 0.000 -> WHITE_BLOOD_CELL_COUNT >= 0.000))"
220,"F[0,0]((HEMOGLOBIN >= 0.000 | n_evts >= 0.000))"
221,"F[0,0]((ICU_Pt_Days <= 0.000 & y >= 0.000))"
222,"F[0,0]((ICU_Pt_Days <= 0.000 -> y = 0.000))"
223,"F[0,0]((ICU_Pt_Days >= 0.000 & Mort >= 0.000))"
224,"F[0,0]((ICU_Pt_Days >= 0.000 & POTASSIUM >= 0.000))"
225,"F[0,0]((ICU_Pt_Days >= 0.000 & n_edrk <= 0.000))"
226,"F[0,0]((ICU_Pt_Days >= 0.000 & y = 0.000))"
227,"F[0,0]((ICU_Pt_Days >= 0.000 -> y >= 0.000))"
228,"F[0,0]((ICU_Pt_Days >= 0.000 | tte <= 0.000))"
229,"F[0,0]((LACTIC_ACID >= 0.000 & PHOSPHORUS <= 0.000))"
230,"F[0,0]((LOS <= 0.000 & n_edrk <= 0.000))"
231,"F[0,0]((LOS <= 0.000 -> n_edrk <= 0.000))"
232,"F[0,0]((LOS <= 0.000 -> n_evts >= 0.000))"
233,"F[0,0]((LOS <= 0.000 -> y >= 0.000))"
234,"F[0,0]((LOS >= 0.000 & Mort >= 0.000))"
235,"F[0,0]((LOS >= 0.000 & s8_edrk >= 0.000))"
236,"F[0,0]((MAGNESIUM <= 0.000 & PHOSPHORUS <= 0.000))"
237,"F[0,0]((MAGNESIUM <= 0.000 & s8_hr <= 0.000))"
238,"F[0,0]((MAGNESIUM >= 0.000 -> y = 0.000))"
239,"F[0,0]((MET <= 0.000 -> PHOSPHORUS <= 0.000))"
240,"F[0,0]((Mort <= 0.000 -> POTASSIUM >= 0.000))"
241,"F[0,0]((Mort <= 0.000 -> n_edrk <= 0.000))"
242,"F[0,0]((Mort >= 0.000 & PHOSPHORUS <= 0.000))"
243,"F[0,0]((Mort >= 0.000 & WHITE_BLOOD_CELL_COUNT >= 0.000))"
244,"F[0,0]((Mort >= 0.000 | O2_Flow >= 0.000))"
245,"F[0,0]((Mort >= 0.000 | PLATELET_COUNT >= 0.000))"
246,"F[0,0]((O2_Flow < 0.000 -> y = 0.000))"
247,"F[0,0]((O2_Flow <= 0.000 & PLATELET_COUNT >= 0.000))"
248,"F[0,0]((O2_Flow <= 0.000 -> SBP <= 0.000))"
249,"F[0,0]((O2_Flow <= 0.000 -> WHITE_BLOOD_CELL_COUNT >= 0.000))"
250,"F[0,0]((O2_Flow > 0.000 -> y = 0.000))"
251,"F[0,0]((O2_Flow >= 0.000 & Pulse >= 0.000))"
252,"F[0,0]((O2_Flow >= 0.000 & s8_hr >= 0.000))"
253,"F[0,0]((PARTIAL_THROMBOPLASTIN_TIME <= 0.000 & SpO2 >= 0.000))"
254,"F[0,0]((PARTIAL_THROMBOPLASTIN_TIME <= 0.000 -> y = 0.000))"
255,"F[0,0]((PCO2 > 0.000 & y = 0.000))"
256,"F[0,0]((PHOSPHORUS <= 0.000 & PLATELET_COUNT >= 0.000))"
257,"F[0,0]((PHOSPHORUS >= 0.000 -> WHITE_BLOOD_CELL_COUNT <= 0.000))"
258,"F[0,0]((PLATELET_COUNT >= 0.000 & tte <= 0.000))"
259,"F[0,0]((PLATELET_COUNT >= 0.000 -> tte <= 0.000))"
260,"F[0,0]((POTASSIUM <= 0.000 & s2_hr <= 0.000))"
261,"F[0,0]((POTASSIUM <= 0.000 & s8_hr <= 0.000))"
262,"F[0,0]((POTASSIUM <= 0.000 & y = 0.000))"
263,"F[0,0]((Pulse < 0.000 -> y = 0.000))"
264,"F[0,0]((Pulse <= 0.000 -> WHITE_BLOOD_CELL_COUNT <= 0.000))"
265,"F[0,0]((Pulse >= 0.000 & y >= 0.000))"
